IN,OUT,No,R2,MSE,MAE
31,1,1,0.9921355505318248,0.0019720948338090545,0.03162667435729847
31,2,1,0.9929100378159044,0.0017811028707200708,0.030811296091352122
31,2,2,0.9621091578595325,0.009501534002637384,0.07162369890144486
31,3,1,0.9919649378628429,0.0020217689614361527,0.03164776023595316
31,3,2,0.9637606508927081,0.009103857968779477,0.06995000322572278
31,3,3,0.9116653259697735,0.022150864470064043,0.11025833461038198
31,4,1,0.9828675690949074,0.004318040707925596,0.05417802116507947
31,4,2,0.9538913854228149,0.011601772856974795,0.08064490055063592
31,4,3,0.9006648160799946,0.024954460496321416,0.11595523458638872
31,4,4,0.8245912846913732,0.04398561179203434,0.15231293646670568
31,5,1,0.9910244989897445,0.0022663427704953496,0.033296175830776674
31,5,2,0.9626651483842712,0.009409838568393536,0.07118288728149945
31,5,3,0.9047719664099539,0.02396111931488721,0.11367973660782485
31,5,4,0.8445015221840116,0.039063506692875956,0.14533511226553505
31,5,5,0.7466345359579611,0.06353410047644115,0.18387099183333916
31,6,1,0.9825517298791098,0.004414638931267184,0.04496202654646988
31,6,2,0.9585762817339306,0.01045962162023873,0.07434125735418598
31,6,3,0.9010295591297187,0.02494441068676272,0.11559763345007064
31,6,4,0.8062187905016118,0.04875890540555461,0.1610790127294758
31,6,5,0.7260253884450169,0.06882645555425336,0.19041953932371458
31,6,6,0.6264692532072473,0.09366683058995445,0.22063322005182645
31,7,1,0.9797309102514954,0.005139342257302735,0.054284523482351396
31,7,2,0.9542272927335708,0.011581089362316973,0.07862198740978571
31,7,3,0.9060471249001146,0.023723402070434087,0.11405307367849113
31,7,4,0.8332059302799795,0.042038610100423,0.14950404436084277
31,7,5,0.7417118202616639,0.06499004189226702,0.1845158692540885
31,7,6,0.6711874091062284,0.08260256322432018,0.20824899617146836
31,7,7,0.5759499021258082,0.10633509830255872,0.23460515241870897
31,8,1,0.955974492054032,0.011186534871019586,0.08704924915414611
31,8,2,0.917045723727425,0.02103352556831344,0.10833673719345312
31,8,3,0.8429186751984565,0.0397436150999099,0.14887501336660228
31,8,4,0.7408500017928745,0.06543620509200804,0.18667588959646386
31,8,5,0.674744598136663,0.08197704537661987,0.2098329557776379
31,8,6,0.5433960376663685,0.11488992903314574,0.245312779234361
31,8,7,0.46459276149730455,0.13450217994683036,0.2642386004983892
31,8,8,0.36611781762862183,0.15895273816137287,0.2854792065769809
32,1,1,0.9918646648598385,0.002040022313849311,0.03250662159643869
32,2,1,0.9911775343543484,0.0022163332441389565,0.03336043843249629
32,2,2,0.9617193267675862,0.009599288319146953,0.0718332314589154
32,3,1,0.9907957301471289,0.0023159630608409073,0.033291153793255056
32,3,2,0.9606788378386847,0.009878054774773293,0.07344008011348319
32,3,3,0.9067651820627991,0.023379627973850327,0.11262732023987782
32,4,1,0.9686758641665283,0.007894903789124014,0.07632545776363994
32,4,2,0.9496489090982377,0.012669257688609525,0.08866864409894466
32,4,3,0.8997158794774447,0.0251928473400093,0.12043897827025983
32,4,4,0.8369883789304833,0.040876907794109664,0.150571761084422
32,5,1,0.9888701566578498,0.0028103211137079395,0.0396734509009927
32,5,2,0.9562806552360178,0.011018979820230444,0.0794674604894449
32,5,3,0.901365700921242,0.02481819816778647,0.12004478364729934
32,5,4,0.838582783532677,0.04055038097079265,0.15053806198635797
32,5,5,0.7486469732806782,0.0630294602897943,0.18364749928216323
32,6,1,0.9818637395060317,0.004588709430192545,0.04264747154137565
32,6,2,0.9568601675019819,0.01089294596374637,0.07528006190958975
32,6,3,0.8962157438834651,0.02615767985497964,0.11747423002729292
32,6,4,0.816874535903665,0.04607772448285682,0.15534597223758723
32,6,5,0.7301631983536159,0.06778697679324786,0.1874303672743768
32,6,6,0.6188556547491835,0.09557602184950845,0.2219218262042501
32,7,1,0.9744336825079568,0.006482484289170883,0.060508212158487
32,7,2,0.9472991955464005,0.01333398792189773,0.08634318877645225
32,7,3,0.8945408124045598,0.02662878285191525,0.11937627487562441
32,7,4,0.8218479000181204,0.04490127665978322,0.15426745036869471
32,7,5,0.7218636186968793,0.06998421333475542,0.19082424538141363
32,7,6,0.6084750559867163,0.09835682950536401,0.22520687662106645
32,7,7,0.49567178687735924,0.1264656944733455,0.25281079357116737
32,8,1,0.9879766872386171,0.0030550290898506884,0.03697519428106663
32,8,2,0.9601115948679255,0.010113930552150529,0.07319225660278782
32,8,3,0.9093257763696163,0.02294175611265097,0.1114890536119432
32,8,4,0.842059518585782,0.03988047773741826,0.14622183161812716
32,8,5,0.7570203792879109,0.06124033998696847,0.1806260024405086
32,8,6,0.6645860035746352,0.08439631151925199,0.21182471689420226
32,8,7,0.5470661001289588,0.1137836632071752,0.24159772793843537
32,8,8,0.468447680928499,0.13329243026891222,0.26121802502745556
33,1,1,0.9931350665702071,0.0017214554948979757,0.029685823123538305
33,2,1,0.9915249899384092,0.002129047286590892,0.03375320265541438
33,2,2,0.9626632334711059,0.0093625936158315,0.07214567890399526
33,3,1,0.9906447226188186,0.0023539593237781836,0.033699430152761646
33,3,2,0.9654364380609469,0.008682875563152337,0.06910618756635128
33,3,3,0.9130439564506506,0.02180515812913433,0.10977568521830858
33,4,1,0.9805102889675937,0.004912167227747029,0.05194250217347785
33,4,2,0.9476470288899289,0.013172967454705265,0.08308766688627342
33,4,3,0.8880228535696052,0.02813030757901812,0.12231891964981287
33,4,4,0.8251550533366401,0.04384424077333894,0.1523400289762916
33,5,1,0.9914152718756467,0.002167671364424747,0.03431858245574912
33,5,2,0.9644079903503472,0.00897057442667969,0.0695124680798722
33,5,3,0.9135248133985161,0.02175874252381787,0.10967882031271048
33,5,4,0.8444791280873951,0.03906913241960555,0.1448729596484732
33,5,5,0.7527517824621852,0.062000135476483455,0.1810047915772731
33,6,1,0.9852077314213589,0.003742636049108683,0.038617222473765936
33,6,2,0.9598762443918931,0.010131376882878537,0.07373848090951757
33,6,3,0.8914787304765239,0.02735159196461968,0.11900791121516949
33,6,4,0.8158662651612545,0.046331423888901595,0.15541850220304188
33,6,5,0.7298689942735952,0.0678608851890751,0.18849690759858576
33,6,6,0.6145305899064561,0.09666057812604728,0.22296409777690476
33,7,1,0.9864528796884156,0.003434948917093177,0.04194314739524124
33,7,2,0.9558456755189937,0.01117161750059548,0.0789055412318273
33,7,3,0.9001851945537496,0.02520355826967603,0.1155191957443557
33,7,4,0.8415992359565875,0.03992316975302414,0.14589414421548272
33,7,5,0.7566020224686907,0.061243393996109466,0.18045818906072225
33,7,6,0.6377422478036692,0.09100448008380797,0.2166041075441887
33,7,7,0.5430702699475412,0.11458001779993678,0.24336895806860803
33,8,1,0.9791191200289288,0.005298466315672113,0.05334891527739868
33,8,2,0.9471867305526185,0.013371055820294384,0.08888138574245008
33,8,3,0.8978849794206468,0.025793636031624927,0.12195086845030685
33,8,4,0.8322048634643013,0.042295275691359754,0.1523700651595089
33,8,5,0.7482447990077477,0.0633426376747047,0.1874283317685527
33,8,6,0.6664356250110371,0.0837874127093174,0.21615783720916767
33,8,7,0.5638280994848467,0.10937064198074217,0.23998274172217446
33,8,8,0.48032181223564774,0.1300831980971839,0.2604538084595736
